reg_no,name,email,phone,branch,course,DOB
25BEC3632,sanya iyer,sanya.iyer927@gmail.com,9744531944,Electronics,B.Tech,2007-04-08
24BEC3080,Meera Mehta,meeramehta905@gmail.com,9574665420,Electronics,Bachelor of Technology,2007-11-30
25EEE5465,Tanvi Kapoor,tanvi.kapoor741@outlook.com,9324754022,Electrical and Electronics,B.Tech,2007-06-20
23BEC2077,Nikhil Bose,nikhil.bose195@outlook.com,09755663277,Electronics,BTech,2005-09-15
24BMH6638,Sanya Gupta,sanya.gupta738@yahoo.com,9944474112,Mechanical,Bachelor of Technology,2007-05-01
23EEE1743,Sanya Singh,sanya.singh954@yahoo.com,+91 9153289826,EEE,Bachelor of Technology,18/12/2004
22BCE9191,Ananya Das,ananya.das837@outlook.com,9430432249,Computer Science and Engineering,Bachelor of Technology,2003-11-08
24BCE1415,meera gupta,meera.gupta920@yahoo.com,9138075808,Computer Science,Bachelor of Technology,2006-09-26
21BEC9974,Sneha Mehta,sneha.mehta997@outlook.com,9907399534,Electronics and Communication Engineering,BTech,2003-08-21
24EEE2342,NikhilMehta,nikhil.mehta873@yahoo.com,9440289789,EEE,B.Tech,19-12-2007
21EEE8821,ArjunG upta,arjun.gupta601@gmail.com,9339411319,Electrical and Electronics Engineering,Bachelor of Technology,2002-01-10
24BAI4916,Rohan Singh,rohan.singh727@outlook.com,+91 9047652006,Artificial Intelligence & Machine Learning,Bachelor of Technology,2006-10-31
24EEE1850,Diya K Nair,diya.nair678@outlook.com,9180513801,Electrical and Electronics,BTech,2005-08-29
21BCE8059,Ananya Menon,ananya.menon161@gmail.com,9877250321,CSE,BTech,2003-12-02
22BCE6995,Neha Singh,neha.singh836@outlook.com,9000784324,Computer Science and Engineering,B.Tech,05/08/2004
22BCE8187,Nhea Singh,neha.singh548@yahoo.com,9346639977,Computer Science,BTech,2004-08-05
22BCE6999,Neha Singh,neha.singh364@gmail.com,9631732167,Computer Science and Engineering,Bachelor of Technology,2004-08-05
24EEE5335,Diya Singh,diya.singh706@outlook.com,9400870501,Electrical and Electronics Engineering,B.Tech,2007-08-12
24EEE5107,Diya K Singh,diya.singh346@gmail.com,9700259970,Electrical and Electronics,Bachelor of Technology,2007-08-12
24EEE8163,Diya Singh,diya.singh387@gmail.com,9211804255,Electrical and Electronics,B.Tech,2007-08-12
25BAI2026,Kavya Gupta,kavya.gupta606@outlook.com,09224336233,Artificial Intelligence & Machine Learning,BTech,2008-10-20
25BAI7164,Kavya K Gupta,kavya.gupta966@gmail.com,9034460797,AI & ML,BTech,2008-10-20
25BAI1665,Kavya Gupta,kavya.gupta953@yahoo.com,9430452401,AI & ML,B.Tech,2008-10-20
26BAI6069,RahulSharma,rahul.sharma838@outlook.com,9002835137,AI & ML,Bachelor of Technology,23/06/2007
26BAI5612,Rahul Sharma,rahul.sharma178@outlook.com,9166824171,Artificial Intelligence and Machine Learning,B.Tech,2007-06-23
26BAI3267,rahul sharma,rahul.sharma438@outlook.com,9043065364,Artificial Intelligence and Machine Learning,Bachelor of Technology,2007-06-23
26BEC2977,Priya Das,priya.das252@yahoo.com,9465260350,Electronics,B.Tech,26-10-2008
26BEC9874,Priya Das,priya.das293@yahoo.com,9470704278,ECE,BTech,2008-10-26
26BEC2155,Priay Das,priya.das216@yahoo.com,9547709638,Electronics and Communication Engineering,BTech,2008-10-26
25BCE7663,Tanvi K Gupta,tanvi.gupta415@gmail.com,9790932088,CSE,Bachelor of Technology,2007-02-15
25BCE4738,Tanvi Gupta,tanvi.gupta521@gmail.com,9934547049,Computer Science,Bachelor of Technology,2007-02-15
25BCE1662,tanvi gupta,tanvi.gupta876@outlook.com,9723811851,Computer Science,B.Tech,2007-02-15
