reg_no,name,email,phone,branch,course,DOB
22EEE7412,Neha Agarwal,neha.agarwal505@gmail.com,9944291211,Electrical,Bachelor of Technology,2005-02-16
24BCE2416,Aditya Patel,aditya.patel441@gmail.com,9187591443,CSE,BTech,2006-08-09
24BEC6406,Rohan Bose,rohan.bose602@outlook.com,9906373321,Electronics and Communication,BTech,2006-07-14
21BRS9606,Meera Mishra,meera.mishra688@outlook.com,9751423484,AI/R,B.Tech,2004-02-21
21BAI3691,Kavya Reddy,kavya.reddy983@outlook.com,9442779388,AI & ML,Bachelor of Technology,2004-03-10
21BEC1363,Meera Rao,meera.rao252@yahoo.com,9936021541,Electronics,B.Tech,2004-12-09
21BMH1791,Pooja Das,pooja.das496@yahoo.com,9783328461,Mechanical,Bachelor of Technology,2004-04-16
22BEC6591,Neha Pillai,neha.pillai244@yahoo.com,9576041070,Electronics and Communication,Bachelor of Technology,2004-12-27
22BAI7310,Vivek Gupta,vivek.gupta826@gmail.com,9838234165,Artificial Intelligence & Machine Learning,Bachelor of Technology,2005-12-16
24EEE3465,Tanvi Mehta,tanvi.mehta311@gmail.com,9127236774,EEE,B.Tech,2007-01-29
24BAI4358,Aditya Menon,aditya.menon458@outlook.com,9318787959,AI/ML,B.Tech,2007-12-25
23EEE6941,Priya Reddy,priya.reddy159@gmail.com,9941302186,Electrical and Electronics,BTech,2005-09-07
23BMH6542,Anjali Bose,anjali.bose407@yahoo.com,9966120008,Mechanical,Bachelor of Technology,2006-11-16
25BRS8739,Varun Sharma,varun.sharma612@yahoo.com,9468090940,AI/R,B.Tech,2008-12-05
23BMH3791,Pooja Patel,pooja.patel519@gmail.com,9025479905,MECH,Bachelor of Technology,2004-07-04
21BEC2313,Tanvi Rao,tanvi.rao772@outlook.com,9772271705,Electronics,B.Tech,2003-03-26
23BRS1008,Rahul Verma,rahul.verma752@gmail.com,9328807832,Artificial Intelligence and Robotics,Bachelor of Technology,2005-12-24
21BAI3437,Diya Desai,diya.desai856@yahoo.com,9814178421,AI & ML,BTech,2002-09-06
26BMH9383,Pooja Menon,pooja.menon441@gmail.com,9031969105,Mechanical,Bachelor of Technology,2008-11-05
25BMH5563,Priya Mishra,priya.mishra496@gmail.com,9134488756,Mechanical Engineering,B.Tech,2007-01-04
24BEC3037,Akash Nair,akash.nair516@yahoo.com,9625585177,Electronics,BTech,2005-01-06
23BEC6559,Karthik Mishra,karthik.mishra731@yahoo.com,9437991375,Electronics,BTech,2004-07-13
25BMH3804,Akash Gupta,akash.gupta697@gmail.com,9912455134,Mechanical Engineering,B.Tech,2008-08-29
25BCE4546,Vivek Patel,vivek.patel411@outlook.com,9591644679,Computer Science and Engineering,BTech,2006-10-05
25BMH3878,Diya Agarwal,diya.agarwal754@yahoo.com,9889966640,Mechanical,B.Tech,2008-06-03
22EEE7224,Rohan Kapoor,rohan.kapoor307@gmail.com,9453830395,EEE,B.Tech,2003-01-22
25BMH4138,Ishita Kumar,ishita.kumar480@yahoo.com,9884102057,Mechanical,BTech,2007-07-24
26BAI2281,Varun Rao,varun.rao259@yahoo.com,9448543605,AI & ML,Bachelor of Technology,2008-04-27
25BEC3632,Sanya Iyer,sanya.iyer927@gmail.com,9744531944,Electronics and Communication Engineering,Bachelor of Technology,2007-04-08
24BEC3080,Meera Mehta,meera.mehta905@gmail.com,9574665420,Electronics and Communication,BTech,2007-11-30
25EEE5465,Tanvi Kapoor,tanvi.kapoor741@outlook.com,9324754022,Electrical and Electronics,Bachelor of Technology,2007-06-20
23BEC2077,Nikhil Bose,nikhil.bose195@outlook.com,9755663277,Electronics and Communication,Bachelor of Technology,2005-09-15
24BMH6638,Sanya Gupta,sanya.gupta738@yahoo.com,9944474112,Mechanical,B.Tech,2007-05-01
23EEE1743,Sanya Singh,sanya.singh954@gmail.com,9153289826,Electrical and Electronics,B.Tech,2004-12-18
22BCE9191,Ananya Das,ananya.das837@outlook.com,9430432249,Computer Science and Engineering,BTech,2003-11-08
24BCE1415,Meera Gupta,meera.gupta920@yahoo.com,9138075808,CSE,BTech,2006-09-26
21BEC9974,Sneha Mehta,sneha.mehta997@outlook.com,9907399534,ECE,B.Tech,2003-08-21
24EEE2342,Nikhil Mehta,nikhil.mehta873@yahoo.com,9440289789,Electrical and Electronics Engineering,BTech,2007-12-19
21EEE8821,Arjun Gupta,arjun.gupta601@gmail.com,9339411319,EEE,B.Tech,2002-01-10
24BAI4916,Rohan Singh,rohan.singh727@outlook.com,9047652006,Artificial Intelligence & Machine Learning,Bachelor of Technology,2006-10-31
24EEE1850,Diya Nair,diya.nair678@outlook.com,9180513801,EEE,Bachelor of Technology,2005-08-29
21BCE8059,Ananya Menon,ananya.menon161@gmail.com,9877250321,CSE,Bachelor of Technology,2003-12-02
22BCE6995,Neha Singh,neha.singh836@outlook.com,9000784324,Computer Science,B.Tech,2004-08-05
22BCE8187,Neha Singh,neha.singh548@yahoo.com,9346639977,Computer Science,Bachelor of Technology,2004-08-05
22BCE6999,Neha Singh,neha.singh364@gmail.com,9631732167,Computer Science,B.Tech,2004-08-05
24EEE5335,Diya Singh,diya.singh706@outlook.com,9400870501,Electrical,BTech,2007-08-12
24EEE5107,Diya Singh,diya.singh346@gmail.com,9700259970,Electrical and Electronics,BTech,2007-08-12
24EEE8163,Diya Singh,diya.singh387@gmail.com,9211804255,Electrical and Electronics Engineering,Bachelor of Technology,2007-08-12
25BAI2026,Kavya Gupta,kavya.gupta606@outlook.com,9224336233,Artificial Intelligence and Machine Learning,B.Tech,2008-10-20
25BAI7164,Kavya Gupta,kavya.gupta966@gmail.com,9034460797,AI & ML,BTech,2008-10-20
25BAI1665,Kavya Gupta,kavya.gupta953@yahoo.com,9430452401,Artificial Intelligence & Machine Learning,BTech,2008-10-20
26BAI6069,Rahul Sharma,rahul.sharma838@outlook.com,9002835137,AI & ML,BTech,2007-06-23
26BAI5612,Rahul Sharma,rahul.sharma178@outlook.com,9166824171,Artificial Intelligence and Machine Learning,Bachelor of Technology,2007-06-23
26BAI3267,Rahul Sharma,rahul.sharma438@outlook.com,9043065364,Artificial Intelligence and Machine Learning,B.Tech,2007-06-23
26BEC2977,Priya Das,priya.das252@yahoo.com,9465260350,Electronics and Communication Engineering,Bachelor of Technology,2008-10-26
26BEC9874,Priya Das,priya.das293@yahoo.com,9470704278,Electronics,B.Tech,2008-10-26
26BEC2155,Priya Das,priya.das216@yahoo.com,9547709638,ECE,BTech,2008-10-26
25BCE7663,Tanvi Gupta,tanvi.gupta415@gmail.com,9790932088,Computer Science,Bachelor of Technology,2007-02-15
25BCE4738,Tanvi Gupta,tanvi.gupta521@gmail.com,9934547049,CSE,B.Tech,2007-02-15
25BCE1662,Tanvi Gupta,tanvi.gupta876@outlook.com,9723811851,Computer Science,BTech,2007-02-15
