reg_no,name,email,phone,branch,course,DOB
24BAI9050,Aditya Menon,aditya.menon460@yahoo.com,9193629567,AI & ML,Bachelor of Technology,2005-11-26
22BEC4839,Varun Nair,varunnair499@gmail.com,9643407686,Electronics and Communication,BTech,2005-02-07
22BCE5033,Vivek Mishra,vivek.mishra657@outlook.com,9269233425,CSE,BTech,2003-07-21
26BRS6058,Aditya Verma,aditya.verma244@yahoo.com,9439145566,AI & Robotics,BTech,2009-01-15
24BMH6608,Karthik K Singh,karthik.singh841@gmail.com,9500543505,Mechanical Engineering,B.Tech,2007-09-30
26BMH4704,priya das,priya.das457@yahoo.com,9060775983,MECH,BTech,2007-09-05
26BRS3141,Pooja Kapoor,pooja.kapoor699@outlook.com,9514463581,Artificial Intelligence and Robotics,BTech,04/06/2008
24BCE7725,arjun pillai,,9953387948,CSE,BTech,10-08-2007
23BRS3686,Rohan Nair,rohan.nair560@outlook.com,9769135187,AI/R,BTech,2004-11-16
23BEC2076,K. Menon,,,ECE,BTech,22/07/2005
21BEC5245,DiyaNair,diya.nair898@yahoo.com,9386466390,Electronics,B.Tech,2003-10-19
24BEC1722,Ishita Joshi,ishita.joshi276@outlook.com,9074379076,ECE,BTech,2005-08-26
26BMH8301,Meera Mehta,,9959243179,Mechanical,Bachelor of Technology,2008-02-04
21EEE5942,Rahul Kumar,rahul.kumar926@gmail.com,9939218441,Electrical,Bachelor of Technology,05-02-2004
25BMH5562,ShreyaNair,shreya.nair339@gmail.com,9894308111,MECH,BTech,2007-01-10
23BMH5367,Anjali K Pillai,anjali.pillai285@outlook.com,9601226662,Mechanical Engineering,B.Tech,2006-04-17
23BRS1135,nikhil gupta,nikhil.gupta963@yahoo.com,9861926876,AI/R,BTech,11/11/2005
23BEC6225,Aditya Mehta,aditya.mehta907@outlook.com,9801564106,Electronics and Communication,B.Tech,10-11-2006
21BRS6653,Aditya Gupta,aditya.gupta661@outlook.com,,Artificial Intelligence and Robotics,BTech,2004-09-25
22BMH9811,Meera Joshi,meera.joshi759@outlook.com,9804305717,Mechanical,Bachelor of Technology,2003-12-12
21BCE4376,Vivek Rao,vivek.rao966@yahoo.com,9666501271,Computer Science and Engineering,BTech,2003-07-05
24EEE2751,A. Menon,aisha.menon723@gmail.com,+91-97424-32543,Electrical and Electronics Engineering,B.Tech,
23BEC1042,M. Iyer,meera.iyer556@gmail.com,9964275881,ECE,B.Tech,07-02-2005
24BCE9777,tanvi desai,,9728184476,CSE,Bachelor of Technology,2006-11-14
25BEC2929,diya gupta,diya.gupta157@gmail.com,9405379251,Electronics,Bachelor of Technology,12/08/2007
26BCE8277,Riya Desai,riya.desai929@gmail.com,9732636759,Computer Science,BTech,2008-05-27
26BCE6362,riya desai,riya.desai348@gmail.com,9726784686,Computer Science,BTech,2008-05-27
26BCE4441,Riya Desai,riya.desai353@gmail.com,9929622079,CSE,B.Tech,2008-05-27
24BAI7526,Nikhil K Mishra,,+91-92112-48604,Artificial Intelligence & Machine Learning,B.Tech,15-11-2005
24BAI1203,Nikhil Mishra,nikhil.mishra427@yahoo.com,+91-95683-97658,AI & ML,BTech,2005-11-15
24BAI7270,Nikhi lMishra,nikhil.mishra467@yahoo.com,9512378188,AI/ML,B.Tech,15/11/2005
25BRS9085,Neha Agarwal,nehaagarwal183@yahoo.com,9023338342,AI/R,BTech,
25BRS3684,Neha Agarwal,neha.agarwal190@outlook.com,9840710199,AI/R,B.Tech,
25BRS3262,Neha Agarwal,neha.agarwal204@gmail.com,09559550579,Artificial Intelligence and Robotics,BTech,2006-05-15
26BAI8505,KarthikAgarwal,karthik.agarwal103@outlook.com,9949728298,Artificial Intelligence and Machine Learning,Bachelor of Technology,2008-06-04
26BAI2051,karthik agarwal,karthik.agarwal216@yahoo.com,,Artificial Intelligence and Machine Learning,Bachelor of Technology,2008-06-04
26BAI1955,Karthik Agarwal,,9668013392,Artificial Intelligence and Machine Learning,B.Tech,2008-06-04
21BMH6460,DiyaKumar,diya.kumar628@yahoo.com,9119729909,MECH,BTech,24/03/2003
21BMH5180,Diya Kumar,diya.kumar241@yahoo.com,9099297769,Mechanical,Bachelor of Technology,2003-03-24
21BMH1369,Diya Kumar,diya.kumar358@yahoo.com,9009229279,Mechanical,BTech,24/03/2003
25BAI3659,Varun K Desai,varun.desai529@yahoo.com,9493634993,Artificial Intelligence & Machine Learning,Bachelor of Technology,08/06/2006
25BAI1726,VarunDesai,varun.desai728@gmail.com,9824146763,AI/ML,B.Tech,08-06-2006
25BAI6752,Varun Desai,,9502769344,Artificial Intelligence & Machine Learning,BTech,2006-06-08
